100	1207	100	135	
99.668594	1207	99.259254	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
98.6744	1207	97.03703	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
99.668594	1207	100	135	
85.749794	1207	77.77778	135	
99.91715	1207	100	135	
100	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
97.8459	1207	97.77778	135	
100	1207	100	135	
99.91715	1207	100	135	
99.91715	1207	99.259254	135	
100	1207	100	135	
99.8343	1207	100	135	
99.8343	1207	99.259254	135	
99.91715	1207	100	135	
100	1207	100	135	
94.28335	1207	94.81481	135	
83.26429	1207	80.74074	135	
98.591545	1207	97.77778	135	
100	1207	100	135	
97.10024	1207	97.03703	135	
100	1207	100	135	
98.92295	1207	95.55556	135	
99.58575	1207	100	135	
100	1207	100	135	
100	1207	100	135	
89.0638	1207	88.14815	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
92.543495	1207	89.62963	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
95.194695	1207	97.03703	135	
99.91715	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
100	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
100	1207	100	135	
92.046394	1207	84.44444	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	99.259254	135	
96.5203	1207	94.07407	135	
100	1207	99.259254	135	
100	1207	100	135	
96.5203	1207	96.296295	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
90.63795	1207	93.333336	135	
87.07539	1207	86.666664	135	
100	1207	100	135	
100	1207	100	135	
96.5203	1207	94.81481	135	
99.91715	1207	100	135	
100	1207	100	135	
77.87904	1207	75.55556	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
83.26429	1207	85.18519	135	
99.91715	1207	99.259254	135	
100	1207	100	135	
97.265945	1207	97.77778	135	
99.91715	1207	100	135	
100	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
99.5029	1207	99.259254	135	
93.040596	1207	92.59259	135	
100	1207	100	135	
100	1207	100	135	
79.950294	1207	73.333336	135	
99.91715	1207	100	135	
100	1207	100	135	
100	1207	100	135	
96.5203	1207	94.81481	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
95.940346	1207	97.77778	135	
80.198845	1207	70.37037	135	
95.6918	1207	91.85185	135	
99.91715	1207	100	135	
100	1207	100	135	
99.337204	1207	100	135	
100	1207	100	135	
100	1207	100	135	
87.572495	1207	84.44444	135	
99.8343	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
99.91715	1207	100	135	
99.91715	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
80.28169	1207	80.74074	135	
100	1207	100	135	
100	1207	100	135	
91.30074	1207	88.88889	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
99.91715	1207	100	135	
99.91715	1207	100	135	
100	1207	100	135	
100	1207	100	135	
100	1207	100	135	
