100	1169	100	130	100	1169	100	130
99.82891	1169	100	130	99.23011	1169	100	130
89.13602	1169	85.38461	130	90.07699	1169	87.69231	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
90.07699	1169	85.38461	130	94.43969	1169	86.92307	130
100	1169	100	130	100	1169	100	130
99.82891	1169	99.23077	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
82.54919	1169	80	130	85.20103	1169	79.23077	130
99.14457	1169	99.23077	130	99.14457	1169	99.23077	130
100	1169	100	130	99.91446	1169	100	130
90.07699	1169	81.53846	130	89.82036	1169	82.30769	130
99.82891	1169	100	130	99.31566	1169	100	130
96.74936	1169	95.38461	130	98.11805	1169	99.23077	130
97.34816	1169	96.15385	130	96.92044	1169	96.92308	130
99.91446	1169	100	130	99.91446	1169	100	130
99.82891	1169	100	130	99.14457	1169	100	130
100	1169	100	130	100	1169	100	130
99.82891	1169	100	130	99.74337	1169	100	130
99.82891	1169	100	130	99.65783	1169	100	130
99.82891	1169	100	130	99.4012	1169	100	130
100	1169	100	130	100	1169	100	130
90.84688	1169	90.76923	130	94.35415	1169	90.76923	130
82.80582	1169	80	130	91.78785	1169	96.92308	130
90.24808	1169	91.53846	130	93.6698	1169	89.23077	130
100	1169	100	130	99.91446	1169	100	130
93.24209	1169	90	130	96.32164	1169	92.30769	130
96.74936	1169	95.38461	130	93.15655	1169	93.84615	130
79.98289	1169	77.69231	130	83.490166	1169	86.15385	130
99.82891	1169	100	130	99.57228	1169	100	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
83.74679	1169	88.46153	130	90.33362	1169	83.84615	130
100	1169	100	130	99.91446	1169	100	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
86.39863	1169	87.69231	130	91.18905	1169	94.61538	130
85.20103	1169	79.23077	130	86.99743	1169	85.38461	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
82.63473	1169	80.769226	130	85.28657	1169	85.38461	130
100	1169	99.23077	130	97.26261	1169	90	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
89.05047	1169	86.92307	130	89.47819	1169	92.30769	130
100	1169	100	130	100	1169	100	130
94.78186	1169	98.46154	130	94.43969	1169	86.92307	130
99.91446	1169	100	130	99.91446	1169	100	130
99.82891	1169	99.23077	130	100	1169	98.46154	130
99.82891	1169	100	130	99.82891	1169	100	130
100	1169	100	130	100	1169	100	130
82.463646	1169	80	130	92.21557	1169	90	130
99.82891	1169	100	130	99.82891	1169	100	130
100	1169	100	130	100	1169	100	130
87.59624	1169	84.61539	130	97.69033	1169	93.84615	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
99.74337	1169	100	130	99.74337	1169	100	130
100	1169	100	130	99.82891	1169	100	130
96.74936	1169	95.38461	130	95.38067	1169	95.38461	130
95.80838	1169	91.53846	130	95.03849	1169	91.53846	130
100	1169	100	130	100	1169	100	130
95.72284	1169	98.46154	130	89.13602	1169	91.53846	130
88.36613	1169	82.30769	130	93.41318	1169	93.84615	130
95.72284	1169	98.46154	130	94.69632	1169	95.38461	130
96.40719	1169	97.69231	130	98.0325	1169	99.23077	130
92.04449	1169	96.92308	130	88.02396	1169	88.46153	130
100	1169	100	130	100	1169	100	130
96.74936	1169	95.38461	130	96.2361	1169	95.38461	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
99.74337	1169	99.23077	130	100	1169	100	130
92.38666	1169	90	130	95.38067	1169	96.92308	130
79.811806	1169	76.15385	130	83.66125	1169	76.15385	130
86.31309	1169	84.61539	130	88.1095	1169	83.07693	130
100	1169	99.23077	130	97.26261	1169	90.76923	130
98.0325	1169	96.15385	130	99.05903	1169	100	130
100	1169	100	130	100	1169	100	130
100	1169	100	130	100	1169	100	130
93.071	1169	91.53846	130	95.46621	1169	99.23077	130
96.74936	1169	95.38461	130	96.15055	1169	95.38461	130
100	1169	100	130	100	1169	100	130
85.20103	1169	79.23077	130	86.99743	1169	85.38461	130
93.24209	1169	96.92308	130	92.72883	1169	96.15385	130
95.72284	1169	98.46154	130	94.95295	1169	98.46154	130
